"","X","SIM92","SIF92","SIF00","SIM00","SIM02","SIF02","RG48M","RG48F","IPS55M","IPS55F","SIM31","SIM51","SIM61","SIF61","SIM71","SIM81","SIF81"
"1",0,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
"2",1,99112,99301,99543,99479,99535,99604,99526.1,99594.7,99682.06,99632.8,88468,93247,95427,96209,96920,98313,98684
"3",2,99061,99253,99513,99450,99506,99578,99499.83,99568.01,99663.92,99607.54,85020,92292,95052,95851,96770,98225,98607
"4",3,99025,99219,99492,99427,99484,99558,99482.42,99550.78,99649.15,99586.48,83895,91965,94885,95698,96676,98163,98554
"5",4,98997,99195,99477,99409,99467,99544,99468.69,99537.54,99637.33,99569.64,83272,91772,94771,95596,96610,98117,98517
"6",5,98974,99175,99465,99394,99453,99531,99456.95,99526.59,99627.63,99555.8,82846,91630,94683,95519,96552,98080,98489
"7",6,98953,99158,99453,99380,99440,99520,99446.11,99517.04,99619.6,99543.76,82543,91516,94606,95456,96496,98047,98463
"8",7,98931,99142,99442,99367,99427,99510,99435.97,99508.48,99612,99534.13,82300,91419,94537,95402,96445,98015,98440
"9",8,98910,99127,99431,99354,99414,99501,99426.82,99500.62,99603.98,99524.5,82093,91334,94475,95356,96398,97984,98418
"10",9,98889,99115,99421,99342,99401,99492,99418.57,99493.36,99595.96,99516.68,81908,91257,94421,95316,96353,97954,98397
"11",10,98869,99102,99411,99330,99388,99484,99410.82,99486.4,99588.35,99508.85,81738,91184,94370,95278,96311,97925,98376
"12",11,98849,99088,99401,99318,99375,99475,99402.77,99479.44,99581.17,99500.42,81575,91113,94319,95242,96270,97896,98355
"13",12,98830,99074,99390,99304,99363,99465,99393.62,99472.38,99573.99,99492,81417,91041,94266,95205,96227,97867,98335
"14",13,98807,99058,99376,99287,99349,99454,99382.39,99465.02,99565.96,99483.57,81263,90968,94210,95169,96180,97834,98313
"15",14,98777,99039,99360,99264,99331,99441,99368.28,99457.16,99555.4,99474.54,81106,90892,94152,95131,96124,97791,98289
"16",15,98734,99018,99343,99234,99305,99427,99350.19,99448.61,99541.03,99464.3,80936,90811,94087,95092,96058,97737,98264
"17",16,98673,98994,99324,99196,99269,99412,99324.76,99438.76,99519.9,99452.26,80744,90718,94007,95053,95979,97668,98236
"18",17,98594,98967,99301,99146,99222,99393,99290,99427.42,99491.99,99438.41,80522,90612,93911,95011,95888,97584,98208
"19",18,98503,98939,99276,99085,99163,99371,99246.51,99414.59,99459,99423.35,80266,90496,93802,94965,95786,97490,98178
"20",19,98403,98909,99248,99011,99096,99348,99196.49,99400.67,99421.34,99407.09,79981,90370,93681,94915,95677,97388,98146
"21",20,98298,98877,99220,98926,99021,99323,99144.41,99386.26,99381.54,99390.82,79669,90237,93552,94864,95564,97284,98111
"22",21,98189,98845,99192,98834,98943,99298,99090.57,99371.25,99341.3,99373.95,79339,90098,93424,94810,95451,97181,98076
"23",22,98076,98813,99163,98737,98860,99274,99033.2,99355.45,99300.61,99357.68,79003,89952,93304,94753,95339,97079,98042
"24",23,97957,98782,99133,98638,98776,99249,98972.59,99338.76,99259.47,99340.81,78670,89800,93184,94693,95228,96976,98008
"25",24,97836,98749,99104,98539,98689,99224,98909.05,99321.28,99218.73,99323.34,78343,89643,93057,94630,95118,96875,97974
"26",25,97711,98714,99075,98443,98600,99198,98842.98,99302.91,99177.55,99304.05,78014,89486,92923,94565,95010,96776,97938
"27",26,97581,98674,99046,98349,98512,99172,98774.88,99283.45,99135.49,99282.95,77681,89328,92793,94494,94902,96680,97900
"28",27,97448,98633,99018,98257,98425,99146,98705.34,99263,99091.28,99259.44,77345,89167,92667,94417,94793,96586,97861
"29",28,97314,98591,98986,98166,98339,99118,98634.77,99241.56,99043.22,99233.51,77008,88997,92537,94338,94683,96493,97822
"30",29,97176,98548,98954,98075,98255,99089,98563.36,99219.13,98990.02,99205.16,76666,88824,92404,94259,94571,96397,97780
"31",30,97035,98501,98920,97979,98172,99059,98491.21,99195.71,98931.66,99174.4,76317,88651,92266,94177,94458,96297,97735
"32",31,96891,98452,98884,97883,98088,99028,98418.62,99171.21,98867.29,99142.42,75961,88474,92124,94088,94342,96194,97684
"33",32,96744,98401,98846,97783,98004,98995,98345.79,99145.33,98799.88,99109.23,75602,88290,91976,93993,94221,96088,97630
"34",33,96598,98348,98804,97680,97918,98960,98272.82,99117.97,98730.27,99074.83,75238,88101,91817,93891,94094,95981,97574
"35",34,96453,98292,98758,97576,97827,98920,98199.8,99088.93,98661.87,99038.6,74867,87907,91650,93785,93959,95875,97519
"36",35,96309,98234,98710,97469,97730,98878,98126.54,99057.92,98595.12,99000.56,74486,87701,91478,93669,93815,95764,97460
"37",36,96165,98173,98660,97359,97629,98831,98053.63,99024.54,98530.02,98960.69,74091,87483,91299,93548,93659,95647,97393
"38",37,96022,98108,98605,97243,97524,98780,97980.87,98988.3,98465.28,98919,73686,87256,91103,93419,93489,95516,97315
"39",38,95875,98038,98546,97120,97416,98725,97906.8,98948.9,98400.06,98874.88,73272,87020,90894,93280,93302,95367,97225
"40",39,95721,97963,98480,96988,97300,98665,97829.55,98905.86,98332.64,98828.94,72844,86770,90671,93131,93096,95194,97125
"41",40,95559,97879,98406,96849,97175,98598,97746.79,98859.08,98263.43,98779.35,72396,86505,90431,92972,92870,94998,97016
"42",41,95383,97787,98326,96704,97041,98526,97657.55,98808.17,98189.46,98726.76,71936,86215,90169,92800,92621,94784,96900
"43",42,95189,97685,98240,96549,96900,98447,97561.06,98752.44,98115.09,98671.75,71465,85897,89893,92609,92347,94561,96781
"44",43,94980,97574,98144,96381,96747,98362,97456.18,98691.51,98039.46,98612.52,70980,85545,89596,92405,92043,94325,96655
"45",44,94762,97456,98040,96200,96582,98268,97341.57,98624.79,97960.9,98548.71,70474,85161,89272,92190,91705,94062,96515
"46",45,94537,97333,97927,96004,96400,98164,97215.8,98551.71,97876.51,98481.11,69944,84737,88908,91967,91332,93757,96357
"47",46,94293,97197,97803,95788,96200,98048,97076.98,98471.49,97786.73,98407.58,69389,84270,88514,91721,90921,93405,96178
"48",47,94016,97043,97666,95551,95983,97920,96923.6,98383.26,97692.44,98328.26,68807,83763,88087,91455,90471,93007,95978
"49",48,93686,96863,97513,95284,95739,97781,96758.73,98289.4,97591.42,98242.89,68198,83209,87625,91166,89982,92557,95757
"50",49,93317,96669,97344,94989,95477,97631,96586.21,98192.88,97483.26,98151.81,67558,82605,87117,90859,89448,92053,95512
"51",50,92911,96458,97159,94667,95193,97465,96406.37,98094.29,97367.63,98055.14,66884,81944,86560,90518,88867,91505,95248
"52",51,92480,96237,96959,94319,94884,97289,96217.9,97993.35,97243.08,97952.49,66173,81231,85943,90149,88233,90910,94970
"53",52,92016,96000,96739,93936,94542,97097,96019.02,97889.97,97108.01,97843.19,65427,80461,85260,89743,87539,90259,94668
"54",53,91513,95742,96508,93527,94164,96885,95807.87,97783.86,96960.29,97725.93,64643,79632,84503,89304,86781,89549,94343
"55",54,90954,95461,96265,93080,93726,96644,95582.05,97674.54,96797.3,97599.88,63816,78740,83667,88828,85956,88761,93979
"56",55,90339,95159,96001,92577,93260,96380,95338.89,97561.82,96617.07,97465.3,62942,77797,82749,88315,85059,87890,93579
"57",56,89657,94826,95706,92011,92755,96089,95072.32,97445.04,96418.69,97322.55,62018,76780,81744,87757,84091,86931,93147
"58",57,88904,94460,95380,91384,92196,95772,94778.17,97323.92,96201.05,97172.03,61030,75691,80641,87152,83046,85892,92682
"59",58,88075,94055,95016,90678,91562,95430,94455.07,97197.5,95963.71,97014.13,59980,74515,79447,86477,81917,84760,92171
"60",59,87158,93604,94630,89927,90866,95065,94103.89,97064.73,95704.46,96847.98,58865,73270,78164,85736,80699,83538,91618
"61",60,86123,93109,94225,89124,90078,94666,93728.7,96925.05,95419,96671.54,57683,71945,76787,84942,79380,82250,91024
"62",61,84985,92577,93783,88254,89230,94240,93320.7,96774.91,95099.26,96484.51,56419,70554,75302,84098,77954,80920,90396
"63",62,83752,92008,93309,87322,88317,93790,92873.04,96612.91,94733.76,96279.82,55078,69081,73698,83157,76411,79502,89713
"64",63,82406,91394,92790,86294,87333,93298,92380.44,96437.07,94318.74,96052.24,53666,67517,71997,82127,74744,77956,88940
"65",64,80959,90718,92212,85157,86278,92773,91836.23,96244.87,93851.39,95801.61,52181,65873,70207,81004,72954,76190,88026
"66",65,79394,89968,91582,83912,85126,92192,91233.78,96033.32,93326.01,95528.64,50606,64133,68320,79782,71038,74220,86990
"67",66,77684,89127,90892,82549,83860,91537,90565.77,95799.09,92738.85,95214.6,48926,62285,66312,78447,69000,72128,85870
"68",67,75840,88202,90127,81060,82464,90805,89824.04,95538.23,92084.53,94875.31,47141,60311,64192,76976,66845,69961,84671
"69",68,73890,87192,89279,79425,80932,90004,88998.56,95248.18,91358.95,94501.6,45256,58224,62016,75350,64577,67777,83427
"70",69,71815,86069,88351,77653,79279,89131,88077.16,94924.43,90555.9,94088.26,43265,56010,59782,73545,62197,65507,82087
"71",70,69622,84818,87328,75758,77470,88167,87046.39,94560.58,89666.27,93628.08,41175,53669,57422,71559,59690,63114,80623
"72",71,67369,83477,86201,73709,75492,87113,85891.28,94148.11,88680.45,93111.41,38983,51182,54953,69407,57046,60540,78985
"73",72,65085,82060,84956,71518,73357,85950,84595.27,93676.33,87596.82,92532.16,36701,48547,52399,67099,54247,57839,77184
"74",73,62677,80531,83565,69153,71041,84660,83139.89,93133.01,86418.06,91899.68,34316,45753,49753,64624,51294,54972,75187
"75",74,60053,78803,82019,66607,68567,83219,81504.53,92503.06,85143.78,91213.13,31843,42828,46963,61907,48218,51991,73002
"76",75,57085,76734,80300,63864,65919,81614,79668.07,91768.4,83766.78,90451.88,29299,39782,44051,58951,45050,48873,70578
"77",76,53851,74346,78414,60984,63096,79815,77603.71,90907.61,82264.44,89606.39,26727,36638,41041,55793,41828,45708,67962
"78",77,50533,71758,76304,57933,60107,77805,75290.11,89894.44,80598.09,88649.87,24148,33431,37960,52437,38584,42393,65052
"79",78,47241,68995,73969,54766,56968,75602,72715.34,88699.38,78729.55,87556.75,21605,30209,34840,48876,35347,39031,61900
"80",79,44045,66144,71459,51549,53657,73150,69873.33,87290.12,76619.94,86290.44,19116,26979,31716,45197,32144,35661,58530
"81",80,40823,63103,68810,48360,50201,70448,66765.29,85631.7,74260.21,84821.5,16707,23809,28550,41458,28998,32307,54965
"82",81,37566,59855,65960,45093,46648,67555,63386.83,83685.72,71668.03,83129.09,14402,20729,25430,37653,25931,28983,51222
"83",82,34224,56321,62757,41662,43125,64510,59729.66,81402.27,68865.33,81215.03,12238,17781,22391,33828,22960,25701,47309
"84",83,30903,52575,58974,37871,39600,61256,55802.49,78728.21,65882.76,79064.31,10239,15010,19468,30032,20089,22525,43268
"85",84,27584,48566,54743,33841,35955,57632,51623.16,75609.16,62737.33,76671.34,8427,12453,16694,26319,17335,19490,39138
"86",85,24336,44426,50267,29816,32041,53445,47221.41,71996.18,59376.64,73961.48,6813,10139,14101,22744,14725,16631,34969
"87",86,21160,40098,45722,25980,28065,48827,42632.43,67855.1,55849.11,70959.7,5405,8090,11716,19358,12291,13978,30815
"88",87,18165,35746,41304,22491,24211,44032,37910.55,63172.15,52129.8,67622.01,4203,6317,9562,16209,10065,11554,26740
"89",88,15359,31324,36915,19287,20615,39198,33139.05,57961.84,48255.64,63961.61,3200,4819,7654,13337,8073,9381,22809
"90",89,12789,27053,32585,16384,17423,34550,28427.24,52276.71,44247.5,60000.91,2382,3587,5998,10771,6333,7468,19087
