"Età  x","Sopravviventi  lx","Decessi  dx","Probabilità di morte (per mille)  qx","Anni vissuti  Lx","Probabilità prospettive di sopravvivenza  Px","Speranza di vita  ex","Note"
"0","100000","246","2.45981","99769","0.9997549","83.032",""
"1","99754","20","0.19936","99744","0.9998312","82.235",""
"2","99734","14","0.13825","99727","0.9998801","81.252",""
"3","99720","10","0.10159","99715","0.9999084","80.263",""
"4","99710","8","0.08169","99706","0.9999202","79.271",""
"5","99702","8","0.07787","99698","0.9999212","78.277",""
"6","99694","8","0.07979","99690","0.9999219","77.283",""
"7","99686","8","0.07643","99683","0.9999248","76.290",""
"8","99679","7","0.07397","99675","0.9999275","75.295",""
"9","99671","7","0.07103","99668","0.9999295","74.301",""
"10","99664","7","0.06990","99661","0.9999283","73.306",""
"11","99657","7","0.07341","99654","0.9999230","72.311",""
"12","99650","8","0.08053","99646","0.9999118","71.316",""
"13","99642","10","0.09586","99637","0.9998928","70.322",""
"14","99632","12","0.11847","99627","0.9998722","69.329",""
"15","99621","14","0.13716","99614","0.9998446","68.337",""
"16","99607","17","0.17370","99598","0.9998071","67.346",""
"17","99590","21","0.21217","99579","0.9997777","66.358",""
"18","99569","23","0.23252","99557","0.9997570","65.372",""
"19","99545","25","0.25344","99533","0.9997377","64.387",""
"20","99520","27","0.27109","99507","0.9997281","63.403",""
"21","99493","27","0.27266","99480","0.9997229","62.420",""
"22","99466","28","0.28155","99452","0.9997155","61.437",""
"23","99438","29","0.28737","99424","0.9997134","60.454",""
"24","99409","28","0.28582","99395","0.9997104","59.472",""
"25","99381","29","0.29335","99366","0.9997003","58.488",""
"26","99352","30","0.30596","99337","0.9996829","57.505",""
"27","99321","33","0.32829","99305","0.9996621","56.523",""
"28","99289","35","0.34751","99272","0.9996444","55.541",""
"29","99254","36","0.36378","99236","0.9996323","54.560",""
"30","99218","37","0.37170","99200","0.9996180","53.580",""
"31","99181","39","0.39223","99162","0.9995989","52.600",""
"32","99142","41","0.40994","99122","0.9995766","51.620",""
"33","99102","43","0.43690","99080","0.9995479","50.641",""
"34","99059","46","0.46735","99035","0.9995205","49.663",""
"35","99012","49","0.49166","98988","0.9994913","48.686",""
"36","98964","52","0.52581","98938","0.9994459","47.710",""
"37","98912","58","0.58234","98883","0.9993880","46.735",""
"38","98854","63","0.64172","98822","0.9993286","45.762",""
"39","98791","69","0.70116","98756","0.9992576","44.791",""
"40","98721","77","0.78375","98683","0.9991809","43.822",""
"41","98644","84","0.85455","98602","0.9990964","42.856",""
"42","98560","94","0.95272","98513","0.9989955","41.892",""
"43","98466","104","1.05631","98414","0.9988848","40.931",""
"44","98362","115","1.17416","98304","0.9987694","39.974",""
"45","98246","126","1.28706","98183","0.9986463","39.021",""
"46","98120","139","1.42037","98050","0.9985266","38.070",""
"47","97980","150","1.52657","97906","0.9984058","37.124",""
"48","97831","163","1.66186","97749","0.9982677","36.180",""
"49","97668","176","1.80281","97580","0.9981194","35.239",""
"50","97492","191","1.95855","97397","0.9979623","34.302",""
"51","97301","206","2.11699","97198","0.9977943","33.368",""
"52","97095","223","2.29450","96984","0.9975925","32.438",""
"53","96872","244","2.52086","96750","0.9973314","31.511",""
"54","96628","272","2.81677","96492","0.9970463","30.590",""
"55","96356","298","3.09109","96207","0.9967426","29.675",""
"56","96058","329","3.42419","95894","0.9964152","28.765",""
"57","95729","359","3.74604","95550","0.9961131","27.862",""
"58","95371","384","4.02835","95179","0.9957796","26.965",""
"59","94986","419","4.41313","94777","0.9953732","26.072",""
"60","94567","458","4.84147","94338","0.9949198","25.185",""
"61","94109","501","5.32009","93859","0.9944052","24.306",""
"62","93609","550","5.87095","93334","0.9938172","23.433",""
"63","93059","605","6.49645","92757","0.9931832","22.568",""
"64","92455","660","7.13928","92125","0.9924583","21.713",""
"65","91795","729","7.94702","91430","0.9916252","20.865",""
"66","91065","802","8.80604","90664","0.9907753","20.028",""
"67","90263","871","9.64707","89828","0.9899244","19.202",""
"68","89392","939","10.50839","88923","0.9889511","18.384",""
"69","88453","1026","11.59515","87940","0.9877231","17.574",""
"70","87427","1134","12.96661","86861","0.9862741","16.774",""
"71","86294","1251","14.49513","85668","0.9846102","15.988",""
"72","85043","1386","16.29758","84350","0.9828979","15.216",""
"73","83657","1499","17.91996","82907","0.9810590","14.460",""
"74","82158","1642","19.98068","81337","0.9791894","13.714",""
"75","80516","1744","21.65741","79644","0.9771478","12.984",""
"76","78772","1896","24.07353","77824","0.9744351","12.260",""
"77","76876","2083","27.09316","75835","0.9710246","11.550",""
"78","74793","2312","30.91002","73637","0.9672327","10.858",""
"79","72481","2514","34.68381","71224","0.9624545","10.188",""
"80","69968","2834","40.50997","68550","0.9569542","9.536",""
"81","67133","3067","45.68869","65600","0.9514722","8.918",""
"82","64066","3300","51.50292","62416","0.9454645","8.321",""
"83","60766","3508","57.73275","59012","0.9393318","7.746",""
"84","57258","3652","63.78358","55432","0.9320334","7.190",""
"85","53606","3883","72.43455","51665","0.9222387","6.645",""
"86","49723","4152","83.50410","47647","0.9103479","6.125",""
"87","45571","4391","96.36018","43375","0.8970687","5.638",""
"88","41180","4538","110.20316","38911","0.8824739","5.186",""
"89","36642","4608","125.75593","34338","0.8658040","4.766",""
"90","32034","4608","143.85019","29730","0.8478283","4.379",""
"91","27426","4440","161.89143","25206","0.8299150","4.031",""
"92","22986","4134","179.86123","20919","0.8107690","3.713",""
"93","18851","3783","200.65555","16960","0.7902000","3.418",""
"94","15069","3334","221.24000","13402","0.7688791","3.151",""
"95","11735","2861","243.80882","10304","0.7451205","2.904",""
"96","8874","2392","269.51964","7678","0.7212919","2.679",""
"97","6482","1888","291.28686","5538","0.6998361","2.483",""
"98","4594","1437","312.68952","3876","0.6775359","2.297",""
"99","3158","1063","336.68549","2626","0.6512800","2.115",""
