x,Ix
0,1e+07
1,9949900.6
2,9899801.2
3,9849701.8
4,9799602.4
5,9749503
6,9740720
7,9731937
8,9723154
9,9714371
10,9705588
11,9697216.6
12,9688845.2
13,9680473.8
14,9672102.4
15,9663731
16,9654545.2
17,9645359.4
18,9636173.6
19,9626987.8
20,9617802
21,9607896
22,9597695
23,9587169
24,9576288
25,9565017
26,9553319
27,9541153
28,9528475
29,9515235
30,9501381
31,9486854
32,9471591
33,9455522
34,9438571
35,9420657
36,9401688
37,9381566
38,9360184
39,9337427
40,9313166
41,9287264
42,9259571
43,9229925
44,9198149
45,9164051
46,9127426
47,9088049
48,9045679
49,9000057
50,8950901
51,8897913
52,8840770
53,8779128
54,8712621
55,8640861
56,8563435
57,8479908
58,8389826
59,8292713
60,8188074
61,8075403
62,7954179
63,7823879
64,7683979
65,7533964
66,7373338
67,7201635
68,7018432
69,6823367
70,6616155
71,6396609
72,6164663
73,5920394
74,5664051
75,5396081
76,5117152
77,4828182
78,4530360
79,4225163
80,3914365
81,3600038
82,3284542
83,2970496
84,2660734
85,2358246
86,2066090
87,1787299
88,1524758
89,1281083
90,1058491
91,858676
92,682707
93,530959
94,403072
95,297981
96,213977
97,148832
98,99965
99,64617
100,40049
101,23705
102,13339
103,7101
104,3558
105,1668
106,727
107,292
108,108
109,36
110,11
